Name_common,target_name,point type,Name_common_year,Name_2018,Name_2019_x,Easting_2018_y,Northing_2018_y,Elevation_2018_y,H_Prec_Obs_2018_y,V_Prec_Obs_2018_y,Date_Obs_2018_y,Time_Obs_2018_y,Name_2019_y,Layer_2019,rebar_height_m_2019,Easting_2019_y,Northing_2019_y,Elevation_2019_y,Elevation_minus_rebar_m_2019,GlobalLati_2019,GlobalLong_2019,GlobalElli_2019,ElliHeight_minus_rebar_m_2019,LocalLatit_2019_y,LocalLongi_2019_y,LocalEllip_2019_y,ElliHeight_minus_Rebar_m_2019,H_Prec_Obs_2019_y,V_Prec_Obs_2019_y,Date_Obs_2019_y,Time_Obs_2019_y,Easting_2017,Northing_2017,Elevation_2017,LocalLatit_2017,LocalLongi_2017,LocalEllip_2017,H_Prec_Obs_2017,V_Prec_Obs_2017,Date_Obs_2017,Time_Obs_2017,Name_2017
fglb5r_ur,Target 5R,lobe,fglb5r_ur_2018,fglb5_right_tr,fglb5r_ur,442696.6387,7206650.468,137.196959,0.039631,0.05589,7/12/2018,3:34:41 PM,fglb5r_ur,Points,0,442696.6904,7206650.41,137.132691,137.132691,1.134095,-2.900986,142.098606,142.098606,64.978874,-166.214268,142.098692,142.098692,0.007853,0.008728,8/11/2019,3:30:52 PM,442696.5558,7206650.535,137.280773,64.978875,-166.214271,142.246772,0.017822,0.023709,6/28/2017,9:35:57 PM,tr47 fglb5r ur
fglb5l_ll,Target 5L,lobe,fglb5l_ll_2018,fglb5_side_bl,fglb5l_ll,442702.5358,7206670.647,137.876136,0.023965,0.030518,7/12/2018,3:45:00 PM,fglb5l_ll,Points,0,442702.6227,7206670.59,137.732734,137.732734,1.134098,-2.900984,142.698449,142.698449,64.979056,-166.214151,142.698535,142.698535,0.00556,0.006603,8/11/2019,3:52:18 PM,442702.4153,7206670.71,137.969064,64.979057,-166.214155,142.934863,0.014501,0.019434,6/28/2017,9:48:44 PM,tr47 fglb5l ll
fglb5l_lr,Target 5L,lobe,fglb5l_lr_2018,fglb5_side_br,fglb5l_lr,442702.7336,7206671.075,137.897844,0.021505,0.027237,7/12/2018,3:45:53 PM,fglb5l_lr,Points,0,442702.8666,7206671.032,137.75274,137.75274,1.134099,-2.900984,142.718451,142.718451,64.97906,-166.214146,142.718537,142.718537,0.005654,0.00667,8/11/2019,3:51:18 PM,442702.6639,7206671.114,138.001163,64.979061,-166.21415,142.966958,0.014547,0.019512,6/28/2017,9:49:06 PM,tr47 fglb5l lr
fglb5l_ul,Target 5L,lobe,fglb5l_ul_2018,fglb5_side_tl,fglb5l_ul,442702.2353,7206670.787,137.990163,0.019999,0.025462,7/12/2018,3:44:28 PM,fglb5l_ul,Points,0,442702.3619,7206670.745,137.814542,137.814542,1.134098,-2.900984,142.780255,142.780255,64.979058,-166.214157,142.780341,142.780341,0.006232,0.00724,8/11/2019,3:49:16 PM,442702.1415,7206670.864,138.058575,64.979059,-166.214161,143.024372,0.014441,0.019336,6/28/2017,9:48:27 PM,tr47 fglb5l ul
fglb5l_ur,Target 5L,lobe,fglb5l_ur_2018,fglb5_side_tr,fglb5l_ur,442702.4461,7206671.211,137.995769,0.021199,0.026936,7/12/2018,3:43:54 PM,fglb5l_ur,Points,0,442702.5692,7206671.168,137.847646,137.847646,1.134099,-2.900984,142.813355,142.813355,64.979061,-166.214152,142.813441,142.813441,0.005878,0.006889,8/11/2019,3:50:22 PM,442702.3657,7206671.274,138.090978,64.979062,-166.214157,143.056771,0.014977,0.020232,6/28/2017,9:48:09 PM,tr47 fglb5l ur
fglb5t_ll,Target 5T,lobe,fglb5t_ll_2018,fglb5_top_bl,fglb5t_ll,442711.406,7206660.702,135.056856,0.017591,0.022056,7/12/2018,3:47:57 PM,fglb5t_ll,Points,0,442711.6135,7206660.653,134.90559,134.90559,1.134097,-2.900981,139.871433,139.871433,64.978969,-166.213956,139.871519,139.871519,0.005281,0.00633,8/11/2019,4:01:31 PM,442711.2623,7206660.792,135.170219,64.97897,-166.213964,140.136145,0.014587,0.019509,6/28/2017,9:50:45 PM,tr47 fglb5t ll
fglb5t_lr,Target 5T,lobe,fglb5t_lr_2018,fglb5_top_br,fglb5t_lr,442711.4773,7206661.168,135.05215,0.017024,0.021311,7/12/2018,3:48:27 PM,fglb5t_lr,Points,0,442711.686,7206661.1,134.920925,134.920925,1.134097,-2.900981,139.886763,139.886763,64.978973,-166.213955,139.886849,139.886849,0.005085,0.006077,8/11/2019,4:02:31 PM,442711.3495,7206661.274,135.168578,64.978974,-166.213962,140.134499,0.014604,0.019512,6/28/2017,9:50:29 PM,tr47 fglb5t lr
fglb5t_ul,Target 5T,lobe,fglb5t_ul_2018,fglb5_top_tl,fglb5t_ul,442711.0755,7206660.751,135.109122,0.017976,0.022572,7/12/2018,3:47:22 PM,fglb5t_ul,Points,0,442711.312,7206660.71,134.94156,134.94156,1.134097,-2.900981,139.907401,139.907401,64.978969,-166.213963,139.907487,139.907487,0.00557,0.00652,8/11/2019,3:56:49 PM,442710.9361,7206660.843,135.224008,64.97897,-166.213971,140.189933,0.01463,0.019469,6/28/2017,9:49:52 PM,tr47 fglb5t ul
fglb5t_ur,Target 5T,lobe,fglb5t_ur_2018,fglb5_top_tr,fglb5t_ur,442711.1328,7206661.232,135.10042,0.018602,0.023382,7/12/2018,3:46:54 PM,fglb5t_ur,Points,0,442711.3765,7206661.158,134.960288,134.960288,1.134097,-2.900981,139.926125,139.926125,64.978973,-166.213962,139.926211,139.926211,0.005358,0.006397,8/11/2019,4:00:28 PM,442711.021,7206661.33,135.226339,64.978975,-166.213969,140.192259,0.014445,0.019263,6/28/2017,9:50:10 PM,tr47 fglb5t ur
fglb2b_ll,Target 2B,lobe,fglb2b_ll_2018,fglb2_back_bl,fglb2b_ll,443003.5397,7206679.18,121.595242,0.012989,0.015262,7/12/2018,1:42:57 PM,fglb2b_ll,Points,0,443003.5671,7206679.186,121.608067,121.608067,1.134101,-2.900873,126.573998,126.573998,64.979185,-166.207779,126.574084,126.574084,0.005245,0.006386,8/10/2019,4:15:49 PM,443003.595,7206679.219,121.64641,64.979185,-166.207778,126.612427,0.015796,0.02071,6/28/2017,7:58:27 PM,tr47 fglb2b ll
