,target_name,cluster,Easting_2018_y,Northing_2018_y,Elevation_2018_y,H_Prec_Obs_2018_y,V_Prec_Obs_2018_y,rebar_height_m_2019,Easting_2019_y,Northing_2019_y,Elevation_2019_y,Elevation_minus_rebar_m_2019,GlobalLati_2019,GlobalLong_2019,GlobalElli_2019,ElliHeight_minus_rebar_m_2019,LocalLatit_2019_y,LocalLongi_2019_y,LocalEllip_2019_y,ElliHeight_minus_Rebar_m_2019,H_Prec_Obs_2019_y,V_Prec_Obs_2019_y,Easting_2017,Northing_2017,Elevation_2017,LocalLatit_2017,LocalLongi_2017,LocalEllip_2017,H_Prec_Obs_2017,V_Prec_Obs_2017,type,h_uncertainty,v_uncertainty,position_uncertainty,elevation_uncertainty
26,t2_11,,443131.2517,7206759.13,133.109625,0.027999,0.0361,0.105,443131.2802,7206759.096,133.212035,133.107035,1.134114,-2.900826,138.177334,138.072334,64.979924,-166.205106,138.17742,138.07242,0.006577,0.008933,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
27,t2_12,,443157.7626,7206638.86,99.228519,0.022,0.031218,0.015,443157.8682,7206638.752,99.372087,99.357087,1.134095,-2.900816,104.338996,104.323996,64.978849,-166.204494,104.339082,104.324082,0.008838,0.013838,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
28,t2_13,,443282.4285,7206721.738,99.897379,0.018854,0.028686,0.11,443282.5814,7206721.658,99.817037,99.707037,1.134108,-2.90077,104.783343,104.673343,64.979614,-166.201885,104.783429,104.673429,0.00828,0.012051,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
29,t2_14,,443271.7512,7206610.476,77.455697,0.023674,0.030904,0.23,443271.7618,7206610.37,77.65171,77.42171,1.134091,-2.900773,82.619443,82.389443,64.978614,-166.20207,82.619529,82.389529,0.005972,0.006967,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
30,t2_15,,443233.7554,7206491.224,72.648206,0.014326,0.017838,0.155,443233.7573,7206491.287,72.774234,72.619234,1.134072,-2.900787,77.743345,77.588345,64.977539,-166.202827,77.743431,77.588431,0.009965,0.015505,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
31,t2_16,,443232.9379,7206352.867,71.862737,0.016982,0.020688,0.125,443232.9883,7206352.862,72.019793,71.894793,1.13405,-2.900786,76.99068,76.86568,64.976297,-166.202787,76.990766,76.865766,0.007856,0.008673,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
32,t2_17,,443204.1494,7206260.514,69.62561,0.017263,0.020852,0.115,443204.0909,7206260.535,69.697908,69.582908,1.134036,-2.900796,74.6698,74.5548,64.975464,-166.203362,74.669886,74.554886,0.007811,0.008725,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
33,t2_18,,443191.9344,7206139.978,65.069637,0.017886,0.021281,0.22,443192.0101,7206139.989,65.004044,64.784044,1.134017,-2.9008,69.975914,69.755914,64.97438,-166.20357,69.976,69.756,0.007686,0.00869,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
34,t2_19,,443037.6025,7206128.089,76.817291,0.018673,0.023452,0.19,443037.7137,7206128.112,76.998728,76.808728,1.134015,-2.900856,81.969559,81.779559,64.974247,-166.206833,81.969645,81.779645,0.007046,0.00823,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
35,t2_2,,442797.6193,7206758.429,143.103999,0.014617,0.018337,0.0889,442797.6581,7206758.411,143.099549,143.010649,1.134113,-2.90095,148.064525,147.975625,64.97986,-166.212173,148.064611,147.975711,0.006372,0.007334,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
36,t2_20,,443121.3706,7206286.689,74.028917,0.01866,0.024476,0.175,443121.3456,7206286.671,74.154235,73.979235,1.13404,-2.900827,79.125338,78.950338,64.975684,-166.205125,79.125424,78.950424,0.008335,0.009082,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
37,t2_21,,443078.9939,7206388.471,79.228079,0.01653,0.021204,0.14,443078.9896,7206388.471,79.364633,79.224633,1.134055,-2.900843,84.334305,84.194305,64.97659,-166.206064,84.334391,84.194391,0.008377,0.009097,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
38,t2_23,,442949.4384,7206290.271,90.784431,0.016223,0.021374,0.2,442949.4679,7206290.255,90.964003,90.764003,1.13404,-2.90089,95.934544,95.734544,64.975687,-166.208768,95.93463,95.73463,0.006021,0.007199,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
39,t2_24,,442834.5917,7206149.508,102.144146,0.021829,0.028721,0.11,442834.6733,7206149.439,101.973874,101.863874,1.134017,-2.900932,106.943226,106.833226,64.974404,-166.211142,106.943312,106.833312,0.007619,0.00833,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
40,t2_25,,442803.8019,7206281.527,116.277705,0.021862,0.028957,0.1,442803.9366,7206281.495,116.303079,116.203079,1.134038,-2.900944,121.273102,121.173102,64.975583,-166.211847,121.273188,121.173188,0.007582,0.008415,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
41,t2_26,,442794.445,7206440.226,118.667456,0.024914,0.034482,0.1,442794.5718,7206440.226,118.662793,118.562793,1.134063,-2.900949,123.631176,123.531176,64.977006,-166.21211,123.631262,123.531262,0.007487,0.008069,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
42,t2_27,,442741.5213,7206557.184,123.797319,0.02025,0.023135,0.095,442741.5791,7206557.187,123.843471,123.748471,1.134081,-2.900969,128.810481,128.715481,64.978046,-166.21328,128.810567,128.715567,0.009384,0.00896,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
43,t2_28,,442624.1342,7206443.006,159.415511,0.017025,0.019879,0,442624.3149,7206443.015,159.446226,159.446226,1.134063,-2.901012,164.41404,164.41404,64.977001,-166.215717,164.414126,164.414126,0.009092,0.009717,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
44,t2_29,,442487.8384,7206307.927,195.784781,0.018308,0.022014,0.115,442488.3781,7206307.888,195.708274,195.593274,1.134041,-2.901061,200.676911,200.561911,64.975766,-166.218542,200.676997,200.561997,0.00583,0.006612,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
45,t2_3,,442954.0026,7206769.017,148.153502,0.019736,0.023539,0.079375,442954.0525,7206769.014,148.195026,148.115651,1.134115,-2.900892,153.160213,153.080838,64.979982,-166.208864,153.160299,153.080924,0.008071,0.009388,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
46,t2_30,,442609.1954,7206235.799,153.986094,0.019045,0.022338,0.1,442609.2422,7206235.827,154.089109,153.989109,1.13403,-2.901016,159.058804,158.958804,64.97514,-166.215952,159.05889,158.95889,0.006693,0.007447,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
47,t2_31,,442513.0149,7206455.855,189.793703,0.016616,0.020937,0,442513.1244,7206455.904,189.818406,189.818406,1.134064,-2.901053,194.785769,194.785769,64.977098,-166.218078,194.785855,194.785855,0.009394,0.009965,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
48,t2_32,,442336.5229,7206522.071,242.438237,0.018246,0.02569,0.104775,442336.5422,7206522.092,242.490568,242.385793,1.134074,-2.901118,247.456843,247.352068,64.977661,-166.221845,247.456929,247.352154,0.01153,0.021123,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
49,t2_33,,442461.2087,7206614.749,201.700337,0.025705,0.045509,0.130175,442461.2156,7206614.699,201.853313,201.723138,1.134089,-2.901073,206.819009,206.688834,64.978513,-166.219242,206.819095,206.68892,0.009838,0.0175,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
50,t2_4,,442960.223,7206931.674,195.664581,0.021584,0.027875,0.15875,442960.2087,7206931.616,195.800771,195.642021,1.13414,-2.900891,200.764035,200.605285,64.981442,-166.2088,200.764121,200.605371,0.007469,0.008957,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
51,t2_5,,442798.7681,7206923.631,193.46117,0.018588,0.023858,0.127,442798.8089,7206923.615,193.539648,193.412648,1.134138,-2.90095,198.502746,198.375746,64.981343,-166.212216,198.502832,198.375832,0.005218,0.005761,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
52,t2_6,,442639.3141,7206931.592,201.813741,0.021298,0.02718,0.085725,442639.3615,7206931.623,201.81678,201.731055,1.134139,-2.901009,206.779504,206.693779,64.981387,-166.215597,206.77959,206.693865,0.007049,0.008391,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
53,t2_7,,442510.6674,7207045.767,252.344018,0.016333,0.021605,0.1524,442510.6989,7207045.727,252.365007,252.212607,1.134157,-2.901058,257.326196,257.173796,64.982388,-166.21837,257.326282,257.173882,0.00781,0.009773,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
54,t2_8,,442452.4725,7206940.489,244.29113,0.020258,0.026429,0.073025,442452.5504,7206940.437,244.183136,244.110111,1.13414,-2.901079,249.145403,249.072378,64.981434,-166.219559,249.145489,249.072464,0.007979,0.010149,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
55,t2_9,,442632.6596,7207075.169,241.760839,0.016604,0.0221,0.09525,442632.6872,7207075.174,241.812835,241.717585,1.134162,-2.901013,246.773893,246.678643,64.982674,-166.215797,246.773979,246.678729,0.00702,0.008084,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
56,t2_ex1,,442830.4183,7205579.128,75.049784,0.017387,0.028216,0.145,442830.4641,7205579.089,75.003142,74.858142,1.133928,-2.900929,79.978627,79.833627,64.969287,-166.211,79.978713,79.833713,0.006757,0.007562,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
57,t2_ex10,,442794.2136,7205488.466,73.284216,0.018025,0.020263,0.06,442794.2852,7205488.389,73.191099,73.131099,1.133914,-2.900942,78.167301,78.107301,64.968467,-166.211729,78.167387,78.107387,0.007917,0.008799,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
58,t2_ex2,,442756.716,7205595.112,82.900023,0.018931,0.032789,0.085,442756.7185,7205594.991,82.707062,82.622062,1.13393,-2.900957,87.681738,87.596738,64.969417,-166.212568,87.681824,87.596824,0.007904,0.010777,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
59,t2_ex3,,442686.9633,7205635.38,98.909996,0.023672,0.045432,0.08,442687.1734,7205635.212,98.688771,98.608771,1.133936,-2.900983,103.662476,103.582476,64.969765,-166.214057,103.662562,103.582562,0.008526,0.012502,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
60,t2_ex4,,442577.4268,7205674.084,131.122456,0.027219,0.051452,0.07,442577.4709,7205674.062,131.043587,130.973587,1.133942,-2.901023,136.016158,135.946158,64.970095,-166.216396,136.016244,135.946244,0.007882,0.008978,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
61,t2_ex5,,442560.7377,7205594.25,131.646748,0.02917,0.051807,0.055,442560.7063,7205594.178,131.629744,131.574744,1.13393,-2.901029,136.603,136.548,64.969375,-166.216719,136.603086,136.548086,0.007793,0.008757,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
62,t2_ex6,,442519.6839,7205505.099,129.345736,0.042527,0.055859,0.145,442519.8894,7205504.988,129.214984,129.069984,1.133915,-2.901043,134.18886,134.04386,64.968568,-166.217547,134.188946,134.043946,0.008034,0.008905,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
63,t2_ex8,,442694.1341,7205578.448,89.854766,0.025451,0.030197,0.115,442694.3384,7205578.322,89.685899,89.570899,1.133927,-2.90098,94.660262,94.545262,64.969256,-166.213882,94.660348,94.545348,0.007408,0.009862,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
64,t2_ex9,,442744.4894,7205495.299,80.991931,0.017989,0.020631,0.105,442744.5787,7205495.24,80.88233,80.77733,1.133915,-2.90096,85.858012,85.753012,64.96852,-166.212785,85.858098,85.753098,0.007149,0.007917,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
